v0,v1,v2,v3,v4,v5
4.5444,4.5508,4.6263,4.6202,4.6025,4.604
4.5508,4.6263,4.6202,4.6025,4.604,4.5762
4.6263,4.6202,4.6025,4.604,4.5762,4.5464
4.6202,4.6025,4.604,4.5762,4.5464,4.5329
4.6025,4.604,4.5762,4.5464,4.5329,4.5176
4.604,4.5762,4.5464,4.5329,4.5176,4.4797
4.5762,4.5464,4.5329,4.5176,4.4797,4.474
4.5464,4.5329,4.5176,4.4797,4.474,4.4771
4.5329,4.5176,4.4797,4.474,4.4771,4.5095
4.5176,4.4797,4.474,4.4771,4.5095,4.5174
4.4797,4.474,4.4771,4.5095,4.5174,4.5132
4.474,4.4771,4.5095,4.5174,4.5132,4.5261
4.4771,4.5095,4.5174,4.5132,4.5261,4.5219
4.5095,4.5174,4.5132,4.5261,4.5219,4.571
4.5174,4.5132,4.5261,4.5219,4.571,4.579
4.5132,4.5261,4.5219,4.571,4.579,4.5532
4.5261,4.5219,4.571,4.579,4.5532,4.5513
4.5219,4.571,4.579,4.5532,4.5513,4.5387
4.571,4.579,4.5532,4.5513,4.5387,4.5647
4.579,4.5532,4.5513,4.5387,4.5647,4.5485
4.5532,4.5513,4.5387,4.5647,4.5485,4.577
4.5513,4.5387,4.5647,4.5485,4.577,4.5687
4.5387,4.5647,4.5485,4.577,4.5687,4.5746
4.5647,4.5485,4.577,4.5687,4.5746,4.59
4.5485,4.577,4.5687,4.5746,4.59,4.5674
4.577,4.5687,4.5746,4.59,4.5674,4.5574
4.5687,4.5746,4.59,4.5674,4.5574,4.5518
4.5746,4.59,4.5674,4.5574,4.5518,4.5484
4.59,4.5674,4.5574,4.5518,4.5484,4.545
4.5674,4.5574,4.5518,4.5484,4.545,4.5209
4.5574,4.5518,4.5484,4.545,4.5209,4.5223
4.5518,4.5484,4.545,4.5209,4.5223,4.5321
4.5484,4.545,4.5209,4.5223,4.5321,4.5173
4.545,4.5209,4.5223,4.5321,4.5173,4.5027
4.5209,4.5223,4.5321,4.5173,4.5027,4.5074
4.5223,4.5321,4.5173,4.5027,4.5074,4.5396
4.5321,4.5173,4.5027,4.5074,4.5396,4.5279
4.5173,4.5027,4.5074,4.5396,4.5279,4.5574
4.5027,4.5074,4.5396,4.5279,4.5574,4.583
4.5074,4.5396,4.5279,4.5574,4.583,4.578
4.5396,4.5279,4.5574,4.583,4.578,4.5934
4.5279,4.5574,4.583,4.578,4.5934,4.5876
4.5574,4.583,4.578,4.5934,4.5876,4.5988
4.583,4.578,4.5934,4.5876,4.5988,4.5785
4.578,4.5934,4.5876,4.5988,4.5785,4.5737
4.5934,4.5876,4.5988,4.5785,4.5737,4.579
4.5876,4.5988,4.5785,4.5737,4.579,4.5688
4.5988,4.5785,4.5737,4.579,4.5688,4.5652
4.5785,4.5737,4.579,4.5688,4.5652,4.5777
4.5737,4.579,4.5688,4.5652,4.5777,4.5991
4.579,4.5688,4.5652,4.5777,4.5991,4.5852
4.5688,4.5652,4.5777,4.5991,4.5852,4.5985
4.5652,4.5777,4.5991,4.5852,4.5985,4.6063
4.5777,4.5991,4.5852,4.5985,4.6063,4.636
4.5991,4.5852,4.5985,4.6063,4.636,4.64
4.5852,4.5985,4.6063,4.636,4.64,4.6403
4.5985,4.6063,4.636,4.64,4.6403,4.6359
4.6063,4.636,4.64,4.6403,4.6359,4.6472
4.636,4.64,4.6403,4.6359,4.6472,4.6144
4.64,4.6403,4.6359,4.6472,4.6144,4.6296
4.6403,4.6359,4.6472,4.6144,4.6296,4.6164
4.6359,4.6472,4.6144,4.6296,4.6164,4.6437
4.6472,4.6144,4.6296,4.6164,4.6437,4.6437
4.6144,4.6296,4.6164,4.6437,4.6437,4.6122
4.6296,4.6164,4.6437,4.6437,4.6122,4.6031
4.6164,4.6437,4.6437,4.6122,4.6031,4.646
4.6437,4.6437,4.6122,4.6031,4.646,4.6288
4.6437,4.6122,4.6031,4.646,4.6288,4.635
4.6122,4.6031,4.646,4.6288,4.635,4.6041
4.6031,4.646,4.6288,4.635,4.6041,4.6275
4.646,4.6288,4.635,4.6041,4.6275,4.646
4.6288,4.635,4.6041,4.6275,4.646,4.6444
4.635,4.6041,4.6275,4.646,4.6444,4.6748
4.6041,4.6275,4.646,4.6444,4.6748,4.6959
4.6275,4.646,4.6444,4.6748,4.6959,4.6457
4.646,4.6444,4.6748,4.6959,4.6457,4.6361
4.6444,4.6748,4.6959,4.6457,4.6361,4.6408
4.6748,4.6959,4.6457,4.6361,4.6408,4.6238
4.6959,4.6457,4.6361,4.6408,4.6238,4.6268
4.6457,4.6361,4.6408,4.6238,4.6268,4.6077
4.6361,4.6408,4.6238,4.6268,4.6077,4.6089
4.6408,4.6238,4.6268,4.6077,4.6089,4.6041
4.6238,4.6268,4.6077,4.6089,4.6041,4.5827
4.6268,4.6077,4.6089,4.6041,4.5827,4.5898
4.6077,4.6089,4.6041,4.5827,4.5898,4.5813
4.6089,4.6041,4.5827,4.5898,4.5813,4.6025
4.6041,4.5827,4.5898,4.5813,4.6025,4.5944
4.5827,4.5898,4.5813,4.6025,4.5944,4.5949
4.5898,4.5813,4.6025,4.5944,4.5949,4.5534
4.5813,4.6025,4.5944,4.5949,4.5534,4.5563
4.6025,4.5944,4.5949,4.5534,4.5563,4.527
4.5944,4.5949,4.5534,4.5563,4.527,4.5448
4.5949,4.5534,4.5563,4.527,4.5448,4.5685
4.5534,4.5563,4.527,4.5448,4.5685,4.5801
4.5563,4.527,4.5448,4.5685,4.5801,4.5728
4.527,4.5448,4.5685,4.5801,4.5728,4.5654
4.5448,4.5685,4.5801,4.5728,4.5654,4.5604
4.5685,4.5801,4.5728,4.5654,4.5604,4.5413
4.5801,4.5728,4.5654,4.5604,4.5413,4.5371
4.5728,4.5654,4.5604,4.5413,4.5371,4.5554
4.5654,4.5604,4.5413,4.5371,4.5554,4.5658
4.5604,4.5413,4.5371,4.5554,4.5658,4.5097
4.5413,4.5371,4.5554,4.5658,4.5097,4.533
4.5371,4.5554,4.5658,4.5097,4.533,4.5555
4.5554,4.5658,4.5097,4.533,4.5555,4.5341
4.5658,4.5097,4.533,4.5555,4.5341,4.5699
4.5097,4.533,4.5555,4.5341,4.5699,4.5477
4.533,4.5555,4.5341,4.5699,4.5477,4.5331
4.5555,4.5341,4.5699,4.5477,4.5331,4.5476
4.5341,4.5699,4.5477,4.5331,4.5476,4.5503
4.5699,4.5477,4.5331,4.5476,4.5503,4.5221
4.5477,4.5331,4.5476,4.5503,4.5221,4.5138
4.5331,4.5476,4.5503,4.5221,4.5138,4.4947
4.5476,4.5503,4.5221,4.5138,4.4947,4.4658
4.5503,4.5221,4.5138,4.4947,4.4658,4.4365
4.5221,4.5138,4.4947,4.4658,4.4365,4.4605
4.5138,4.4947,4.4658,4.4365,4.4605,4.453
4.4947,4.4658,4.4365,4.4605,4.453,4.4625
4.4658,4.4365,4.4605,4.453,4.4625,4.4502
4.4365,4.4605,4.453,4.4625,4.4502,4.4549
4.4605,4.453,4.4625,4.4502,4.4549,4.507
4.453,4.4625,4.4502,4.4549,4.507,4.4924
4.4625,4.4502,4.4549,4.507,4.4924,4.4779
4.4502,4.4549,4.507,4.4924,4.4779,4.4861
4.4549,4.507,4.4924,4.4779,4.4861,4.4506
4.507,4.4924,4.4779,4.4861,4.4506,4.4545
4.4924,4.4779,4.4861,4.4506,4.4545,4.4412
4.4779,4.4861,4.4506,4.4545,4.4412,4.4166
4.4861,4.4506,4.4545,4.4412,4.4166,4.4016
4.4506,4.4545,4.4412,4.4166,4.4016,4.4043
4.4545,4.4412,4.4166,4.4016,4.4043,4.4152
4.4412,4.4166,4.4016,4.4043,4.4152,4.4124
4.4166,4.4016,4.4043,4.4152,4.4124,4.4079
4.4016,4.4043,4.4152,4.4124,4.4079,4.4313
4.4043,4.4152,4.4124,4.4079,4.4313,4.4313
4.4152,4.4124,4.4079,4.4313,4.4313,4.4187
4.4124,4.4079,4.4313,4.4313,4.4187,4.4041
4.4079,4.4313,4.4313,4.4187,4.4041,4.4076
4.4313,4.4313,4.4187,4.4041,4.4076,4.3965
4.4313,4.4187,4.4041,4.4076,4.3965,4.4344
4.4187,4.4041,4.4076,4.3965,4.4344,4.4528
4.4041,4.4076,4.3965,4.4344,4.4528,4.4356
4.4076,4.3965,4.4344,4.4528,4.4356,4.3787
4.3965,4.4344,4.4528,4.4356,4.3787,4.3645
4.4344,4.4528,4.4356,4.3787,4.3645,4.3762
